"Guid","CurrencyIsoCode","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0d145796-b1d5-4b96-9413-2bf1ac90f3f9,USD,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
148f5929-822b-40d8-9680-1cb3fbae09e7,USD,Amend,Amend,true,false,"#N/A",All,false,"#N/A",930.0,"#N/A","#N/A","#N/A",Amend,Contract Panel,AmendContract,Contract Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
1bacf0e4-b1a4-4d16-bda0-989e3c27ed11,USD,Amend Assets,Amend Assets,true,false,"#N/A",All,false,"#N/A",920.0,"#N/A","#N/A","#N/A",Amend Assets,Account Panel,AssetSelectorAmend,Account Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
249c4444-7889-4534-b0d5-8657cc5c27a6,USD,Renew Assets,Renew Assets,true,false,"#N/A",All,false,"#N/A",921.0,"#N/A","#N/A","#N/A",Renew Assets,Account Panel,AssetSelector,Account Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
29207505-e6c2-4d04-a0a6-ab9dfc25c39c,USD,Import Lines,Import Lines,true,false,"#N/A",All,false,"#N/A",914.0,"#N/A","#N/A","#N/A",Import Lines,Quote Panel,ImportLines,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
2af671de-c46b-4ccb-8387-8062be9fa188,USD,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
2c5e2790-bae5-45cd-89e7-ea3179125344,USD,Launch External,"#N/A",true,false,"#N/A",All,false,"#N/A",900.0,"#N/A","#N/A","#N/A",Launch External,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,Popup,{!$Setup.GeneralSettings__c.ExternalConfigurationURL__c}
2e4a1eb8-595d-401b-90fe-901190a5a28f,USD,Renew Contracts,Renew Contracts,true,false,"#N/A",All,false,"#N/A",931.0,"#N/A","#N/A","#N/A",Renew Contracts,Contract Panel,RenewContracts,Contract Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
32c29cb3-fbdb-446f-8f67-9c0a5295474c,USD,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",915.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
3754c679-7a65-4b12-93e5-d9e1414ce63a,USD,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",952.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
3b6231ba-2eda-4f98-ac05-45e43f8b5c57,USD,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
3c2cc1c4-5512-4b9d-9446-9ec1600e75cf,USD,Edit Order Products,Edit Order Products,true,false,"#N/A",All,false,"#N/A",950.0,"#N/A","#N/A","#N/A",Edit Order Products,Order Panel,OrderLineSelector,Order Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
3cadc68e-04e6-4b04-aa62-bde75208fc34,USD,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
4056b84c-7346-4254-aaaf-ea2ad6d05ea7,USD,Preview Document,Preview Document,true,false,"#N/A",All,false,"#N/A",917.0,"#N/A","#N/A","#N/A",Preview Document,Quote Panel,PreviewDocument,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
42b0934c-3903-4569-a52b-e53c68cc8feb,USD,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",907.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
5a279ade-c068-4dea-9a42-35cec1ee715c,USD,Add Products,Add Products,true,false,addProductsBtn,All,true,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Menu,"#N/A","#N/A"
5bfade4b-0df1-4a54-a26a-f0021b3804a0,USD,Apply Edit Rules,Apply Edit Rules,true,false,"#N/A",All,false,"#N/A",901.0,"#N/A","#N/A","#N/A",Apply Rules,Configurator,"#N/A",Product Configurator,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
60261e60-cc25-45c0-a146-719ce7592b9d,USD,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
602a48e7-5515-4b2f-82a2-0e168453bdd5,USD,Clone with Related,Clone with Related,true,false,"#N/A",All,false,"#N/A",910.0,"#N/A","#N/A","#N/A",Clone with Related,Quote Panel,CloneLineItems,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
6bab1acc-b9be-4afd-8fa1-af95a243764f,USD,Email,Email,true,false,"#N/A",All,false,"#N/A",961.0,"#N/A","#N/A","#N/A",Email,Quote Document Panel,EmailDocument,Quote Document Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
6d500227-ed85-4261-9027-271252b43628,USD,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,"#N/A",954.0,onDeleteGroup,"#N/A","#N/A",Delete Group,Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
7ab30eae-a27d-4c27-bbd2-b664d65f5855,USD,Reset Discounts - Quote,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",909.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7c78dda9-b5b6-49b6-9817-6daf4724a475,USD,Resegment Line,Resegment Line,true,false,resegmentBtn,All,false,"#N/A",996.0,onResegmentLine,sf-icon-magicwand,magicwand,Resegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7d88bb8c-89cb-4d03-bfff-154008bb702e,USD,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
7e145a36-7042-4e72-81d3-d9baa4c96884,USD,Amend Subscriptions,Amend Subscriptions,true,false,amendSubscriptionsBtn,All,false,"#N/A",920.0,onAmendSubscriptions,"#N/A","#N/A",Amend Subscriptions,Quote/Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
7fdf6ba9-6780-4976-bdf6-8eeb42c5e944,USD,Einstein Data Discovery,"#N/A",true,false,"#N/A",All,false,"#N/A",999.0,"#N/A",sf-icon-notification,notification,Einstein Discovery,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,Popup,https://atomicsecurity--c.na73.visual.force.com/apex/EinsteinDataDiscoveryQuoteLine?Id={!Id}
803d6776-2316-4e93-ac89-9f38f9f7cd02,USD,Preview Approvals,"#N/A",true,false,"#N/A",All,false,"#N/A",917.0,"#N/A","#N/A","#N/A",Preview Approvals,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,Popup,/apex/sbaa__PreviewApprovals?id={!Id}&isdtp=vw&hideSubmit=1
81999393-adb5-4eaa-a0c8-1a2efb1c3184,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",908.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
8ae29967-4bc1-496f-bd8c-5a277c066710,USD,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",950.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
8cee5964-b29b-4fe7-9dc9-cef464cde067,USD,Create Order,Create Order,true,false,"#N/A",All,false,"#N/A",942.0,"#N/A","#N/A","#N/A",Create Order,Opportunity Panel,GenerateOrder,Opportunity Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
8ef3963c-7955-4773-ab5d-8c18014bc262,USD,Generate Document,Generate Document,true,false,"#N/A",All,false,"#N/A",913.0,"#N/A","#N/A","#N/A",Generate Document,Quote Panel,GenerateDocument,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9237338b-def3-4558-a6a7-d431a6b46df4,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",912.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
93654fd4-8079-4f9e-af8e-9e1bb5a0e5ae,USD,Include Document,Include Document,true,false,"#N/A",All,false,"#N/A",940.0,"#N/A","#N/A","#N/A",Include Document,Opportunity Panel,NewOpportunityRelatedContent,Opportunity Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
94907daa-167b-48ac-985b-78512a03cfb9,USD,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Separator,"#N/A","#N/A"
9552edc4-e689-413a-acde-0b168cf0d1be,USD,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",914.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
98adfea6-9e92-4f18-9cfe-75f9e5c20a49,USD,Edit Lines,Edit Lines,true,false,"#N/A",All,false,"#N/A",912.0,"#N/A","#N/A","#N/A",Edit Lines,Quote Panel,sb,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9a1e4ff3-eb3f-42ed-a52b-213ac4d19e23,USD,Test,"#N/A",false,false,"#N/A",All,false,"#N/A",1.0,"#N/A","#N/A","#N/A",Add Products,"#N/A","#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9bf33bab-d66e-4f11-ae46-87a84652771f,USD,Refresh Prices,Refresh Prices,true,false,"#N/A",All,false,"#N/A",918.0,"#N/A","#N/A","#N/A",Refresh Prices,Quote Panel,RefreshQuotePrice,Quote Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9cb285ea-8499-468b-8b05-0d972785a7da,USD,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,"#N/A",901.0,onAddFavorites,"#N/A","#N/A",Add Favorites,Quote/Group,"#N/A",Quote Line Editor,5a279ade-c068-4dea-9a42-35cec1ee715c,"#N/A","#N/A",Button,"#N/A","#N/A"
9d5a6ba1-00ce-4e8b-91eb-de375270d6cd,USD,View Pricing Guidance,View Pricing Guidance,true,false,viewPricingGuidanceBtn,All,false,"#N/A",999.0,onViewPricingGuidance,sf-icon-target,target,View Pricing Guidance,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
9f9a2da7-145d-4b15-be08-ff76f1e21ceb,USD,CPQ_PA__PriceAnalyzer,"#N/A",true,false,"#N/A",All,false,View Price Analyzer,999.0,"#N/A",sf-icon-chart,chart,View,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,Popup,/apex/cpq-pa__PriceAnalyzer?SBQQ__Product_c={!SBQQ__Product__c}&SBQQ__Quantity__c={!SBQQ__Quantity__c}&SBQQ__NetPrice__c={!SBQQ__NetPrice__c}
a8adcbed-7269-4d58-a5c7-3b2301683c7f,USD,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
