"Guid","Configuration__c","CurrencyIsoCode","Engineering_Options__c","Image_Height__c","Image_Width__c","Linux__c","Mac__c","Memory_Config__c","Product_Solution__c","Protected_Devices__c","Resource_Location__c","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__CanOrderSeparately__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c","Storage__c","U_s_Occupied__c"
00462ad5-e8bf-4497-9e15-54ca93dba113,"#N/A",USD,"#N/A","#N/A","#N/A",false,false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",5a78fd1c-bd50-4427-b949-0cf9f4ae2810,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",3b49cf9b-2ceb-4c42-91ea-71d70c17e6ee,"#N/A","#N/A",600.0,228eff6e-43bf-409c-96d9-cab985a5720b,false,1.0,"#N/A","#N/A",false,true,"#N/A",false,Related Product,"#N/A",false,false,"#N/A"
0122f174-040f-4ae3-8dc0-6c426a0289af,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A",Always,true,false,false,"#N/A","#N/A","#N/A","#N/A",dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d031d52e-9727-460f-af57-a0d51893d54f,"#N/A","#N/A",820.0,54ddec67-7e69-4bf1-952f-0d325dd7cb73,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
02fb383a-88f2-4eb5-8964-498087aaa416,"#N/A",USD,Extended Care,"#N/A","#N/A",false,true,"#N/A","#N/A",240.0,Onsite,"#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",21bcabac-77f4-4eb6-95c6-e3d7e1b65e15,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",5968cf40-66b5-4237-a73b-a2de97133217,5.0,"#N/A",220.0,c74d1b2a-3220-4d50-9c1f-0541a7eec1b0,true,1.0,"#N/A","#N/A",false,true,"#N/A",false,Accessory,"#N/A",false,false,"#N/A"
03eac9fd-19eb-447c-93b7-936b95cc6083,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A","#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",3ccd2496-bfc5-49f8-82d0-5f2c35a9354d,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",8da3c6de-294b-466a-92f5-a2f42bd5bf22,1.0,1.0,110.0,b5b0072e-ef57-4c69-9691-71ad80c9b519,false,1.0,"#N/A","#N/A",false,true,"#N/A",false,Component,"#N/A",false,false,"#N/A"
03fb583f-d2a9-4b72-a0a5-b3dfdb8b7b00,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A","#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",e56dc809-d928-4e1b-8e90-c0d51a13fcc9,"#N/A","#N/A",720.0,1e5e5793-c8dc-45a9-8c7f-ae7a8b4103f1,true,1.0,Always,"#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
040b0585-674a-4795-98d7-2b66ace62949,"#N/A",USD,Extended Care,"#N/A","#N/A",false,true,"#N/A","#N/A",240.0,Onsite,"#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",21bcabac-77f4-4eb6-95c6-e3d7e1b65e15,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",c03723cc-c472-49cc-b685-0840e117bb8a,"#N/A","#N/A",110.0,1884cb28-941d-40a6-a587-7ec833d38e3b,true,1.0,"#N/A","#N/A",false,true,"#N/A",false,Related Product,"#N/A",false,false,"#N/A"
07dc237c-6fdb-49af-96ee-d428e6c08146,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A",On Selection,true,false,false,"#N/A","#N/A","#N/A","#N/A",dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",16a8354c-c0f9-4e66-8782-75a09a1a308a,"#N/A","#N/A",340.0,ddb8ec85-0fd5-43fd-9a81-e7fbc06f1ce8,true,1.0,Always,"#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
0895ec21-ce7e-44dc-bcfc-3b4a563bfbe1,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A",On Selection,true,false,false,"#N/A","#N/A","#N/A","#N/A",dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",16a8354c-c0f9-4e66-8782-75a09a1a308a,"#N/A","#N/A",310.0,e11b9f48-eb48-4d4e-ba51-de41576dab2c,true,1.0,Always,"#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
09f2621b-57d2-4833-b5f9-5b3b40e2a5a3,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A",On Selection,true,false,false,"#N/A","#N/A","#N/A","#N/A",dd03d4c0-4d58-4a0a-bd06-f8fb5e7b9ef6,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",16a8354c-c0f9-4e66-8782-75a09a1a308a,"#N/A","#N/A",360.0,21c3304c-600b-4fa2-83ee-0cae138219a4,true,1.0,Always,"#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
0df98d6b-641b-40a9-967c-e37e8ea2d7d6,"#N/A",USD,"#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",240.0,"#N/A","#N/A",false,false,false,"#N/A","#N/A","#N/A","#N/A",3ccd2496-bfc5-49f8-82d0-5f2c35a9354d,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",9715c150-1549-4098-9452-a386de42c48f,1.0,0.0,410.0,8c7ec11c-572a-4f3f-b378-1bad2f089fb4,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false,false,"#N/A"
